name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Scrummy,Thin & Crispy Crust,Large,323,1350,17,6.9,26.8,4.9,1.7,14.7,1.85,0.73,583,2437,30.8,12.5,48.3,8.8,3.1,26.5,3.34,1.31,0.29,0.44,0.62,0.19,0.1,0.1,0.53,0.56,0.55
Scrummy,Thin & Crispy Crust,Medium,333,1393,17.7,7.2,26.3,4.7,1.5,16.4,2.22,0.87,547,2288,29,11.7,43.3,7.7,2.5,26.9,3.65,1.44,0.27,0.41,0.58,0.17,0.09,0.08,0.54,0.61,0.6
Tandoori Hot,Classic Crust,Large,233,984,6.9,3.4,29.8,6.1,1.9,12.1,1.34,0.53,555,2337,16.5,8,70.9,14.4,4.6,28.7,3.19,1.25,0.28,0.24,0.4,0.27,0.16,0.15,0.57,0.53,0.52
Tandoori Hot,Classic Crust,Medium,241,1013,7.4,3.8,31.4,6.2,2.1,11.1,1.32,0.52,492,2070,15.2,7.7,64.2,12.7,4.4,22.6,2.69,1.06,0.25,0.22,0.38,0.25,0.14,0.15,0.45,0.45,0.44
Tandoori Hot,Classic Crust,Small,214,897,6,3.1,27.5,3.9,2.3,11.6,1.15,0.45,889,3720,24.7,12.9,114.2,16.2,9.4,48.3,4.75,1.87,0.44,0.35,0.64,0.44,0.18,0.31,0.97,0.79,0.78
Tandoori Hot,Classic Crust,Personal,271,1143,6.6,3.2,41.6,6,2.1,10.4,1.38,0.54,522,2203,12.6,6.2,80.3,11.6,4,20,2.66,1.05,0.26,0.18,0.31,0.31,0.13,0.13,0.4,0.44,0.44
Tandoori Hot,Italian Style Crust,Large,223,937,7.2,3.6,24.8,6.8,2,13.8,1.39,0.55,445,1870,14.4,7.2,49.5,13.6,4,27.5,2.77,1.09,0.22,0.21,0.36,0.19,0.15,0.13,0.55,0.46,0.45
Tandoori Hot,Italian Style Crust,Medium,222,930,7.1,3.5,25.5,6.6,2.2,12.9,1.4,0.55,383,1611,12.2,6.1,44.1,11.4,3.8,22.4,2.42,0.95,0.19,0.17,0.3,0.17,0.13,0.13,0.45,0.4,0.4
Tandoori Hot,Italian Style Crust,Small,239,1006,7.3,3.8,30.9,3.5,1.9,11.8,1.42,0.56,759,3194,23.1,12.2,98.1,11.2,6.2,37.3,4.5,1.77,0.38,0.33,0.61,0.38,0.12,0.21,0.75,0.75,0.74
Tandoori Hot,Stuffed Crust,Large,220,921,7.5,4.1,25.2,6.3,3.8,11,1.25,0.49,602,2524,20.6,11.2,69,17.4,10.4,30,3.43,1.35,0.3,0.29,0.56,0.27,0.19,0.35,0.6,0.57,0.56
Tandoori Hot,Stuffed Crust,Medium,231,968,8.5,4.3,26.8,6.5,3.7,10.1,1.3,0.51,581,2438,21.4,10.8,67.4,16.4,9.4,25.3,3.27,1.29,0.29,0.31,0.54,0.26,0.18,0.31,0.51,0.55,0.54
Tandoori Hot,Thin & Crispy Crust,Large,239,1004,8.8,4.3,28,5.5,2,11.1,1.3,0.51,409,1716,15,7.4,47.9,9.4,3.4,19,2.23,0.88,0.2,0.21,0.37,0.18,0.1,0.11,0.38,0.37,0.37
Tandoori Hot,Thin & Crispy Crust,Medium,250,1047,9.1,4.5,28.2,5.4,1.8,12.9,1.67,0.66,378,1585,13.7,6.8,42.7,8.1,2.7,19.5,2.53,0.99,0.19,0.2,0.34,0.16,0.09,0.09,0.39,0.42,0.41
Tandoori Sizzler,Classic Crust,Large,227,955,6.8,3.3,29.3,6,1.9,11.4,1.08,0.43,551,2323,16.5,8,71.2,14.7,4.5,27.8,2.64,1.04,0.28,0.24,0.4,0.27,0.16,0.15,0.56,0.44,0.43
Tandoori Sizzler,Classic Crust,Medium,234,983,7.3,3.7,30.8,6.2,2.1,10.4,1.04,0.41,488,2051,15.2,7.7,64.3,12.9,4.3,21.6,2.17,0.86,0.24,0.22,0.38,0.25,0.14,0.14,0.43,0.36,0.36
Tandoori Sizzler,Classic Crust,Small,207,868,5.8,3,26.9,3.9,2.2,11,0.9,0.36,883,3697,24.6,12.9,114.7,16.6,9.3,46.9,3.85,1.51,0.44,0.35,0.64,0.44,0.18,0.31,0.94,0.64,0.63
Tandoori Sizzler,Classic Crust,Personal,263,1108,6.4,3.1,40.7,6,2,9.8,1.13,0.44,519,2191,12.6,6.2,80.5,11.8,4,19.3,2.23,0.88,0.26,0.18,0.31,0.31,0.13,0.13,0.39,0.37,0.37
Tandoori Sizzler,Italian Style Crust,Large,215,904,7,3.5,24.2,6.7,1.9,13,1.08,0.43,442,1856,14.4,7.2,49.7,13.8,4,26.6,2.22,0.87,0.22,0.21,0.36,0.19,0.15,0.13,0.53,0.37,0.36
Tandoori Sizzler,Italian Style Crust,Medium,214,898,6.9,3.5,25,6.5,2.1,12.1,1.08,0.42,379,1592,12.2,6.1,44.3,11.6,3.8,21.4,1.91,0.75,0.19,0.17,0.3,0.17,0.13,0.13,0.43,0.32,0.31
Tandoori Sizzler,Italian Style Crust,Small,229,964,7,3.7,30,3.5,1.8,10.9,1.09,0.43,754,3171,23,12.2,98.6,11.6,6.1,35.9,3.6,1.41,0.38,0.33,0.61,0.38,0.13,0.2,0.72,0.6,0.59
Tandoori Sizzler,Stuffed Crust,Large,214,897,7.3,4,24.8,6.3,3.7,10.4,1.03,0.4,598,2509,20.5,11.2,69.3,17.6,10.3,29.2,2.88,1.13,0.3,0.29,0.56,0.27,0.2,0.34,0.58,0.48,0.47
Tandoori Sizzler,Stuffed Crust,Medium,225,944,8.3,4.2,26.4,6.5,3.6,9.5,1.08,0.42,576,2418,21.3,10.8,67.6,16.6,9.3,24.3,2.76,1.08,0.29,0.3,0.54,0.26,0.18,0.31,0.49,0.46,0.45
Tandoori Sizzler,Thin & Crispy Crust,Large,230,963,8.5,4.2,27.3,5.4,1.9,10.3,0.95,0.37,406,1702,14.9,7.4,48.2,9.6,3.3,18.2,1.67,0.66,0.2,0.21,0.37,0.19,0.11,0.11,0.36,0.28,0.28
