dish,type,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,serves,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,Calories,Fat,Saturated,Carbs,Sugar,Fibre,Protein,Salt
Chicken Wings Combo UK,side,176,738,9.6,2.5,12.3,1,1.2,9.5,1.07,0.42,4,195,819,10.7,2.7,13.6,1.1,1.3,10.6,1.18,0.46,10,15,14,5,1,4,21,20
Chicken Wings Combo IRL,side,175,732,9.5,2.4,12.7,1,1.2,9.2,1.05,0.41,4,205,858,11.1,2.8,14.9,1.2,1.4,10.8,1.23,0.48,10,16,14,6,1,5,22,20
Chilli Flakes,side,318,1330,17,3,56,10,27,12,0,0,1,3,13,0.2,0,0.6,0.1,0.3,0.1,0,0,0,0,0,0,0,1,0,0
Coleslaw,side,146,611,12.9,1,6.3,4.8,0.6,0.9,0.8,0.32,2,146,611,12.9,1,6.3,4.8,0.6,0.9,0.8,0.32,7,18,5,2,5,2,2,13
Frank's Red Hot Wings (7),side,188,789,12.2,3.9,4.3,1.1,0.1,15.5,1.93,0.76,2,224,942,14.6,4.7,5.1,1.3,0.2,18.4,2.3,0.91,11,21,24,2,1,1,37,38
Frank's Red Hot Wings (14),side,191,804,12.5,4,4.3,1,0.1,15.8,1.79,0.7,4,224,939,14.6,4.7,5,1.2,0.1,18.4,2.09,0.82,11,21,24,2,1,0,37,35
Garlic Dippers,side,324,1356,10.2,2.6,46,4.6,3.6,10.2,0.9,0.35,2,243,1017,7.7,2,34.5,3.5,2.7,7.7,0.67,0.26,12,11,10,13,4,9,15,11
Garlic Pizza Bread,side,328,1370,9.4,3.1,47,4,2.4,12.5,0.98,0.39,2,311,1302,8.9,2.9,44.7,3.8,2.3,11.9,0.93,0.37,16,13,14,17,4,8,24,16
NACHOS (no Jalapenos),side,319,1331,18.9,7.1,24.5,2.2,2.4,11.6,1.22,0.48,2,263,1098,15.6,5.8,20.2,1.8,2,9.6,1.01,0.4,13,22,29,8,2,7,19,17
NACHOS with Jalapenos,side,286,1192,16.8,6.3,21.8,2,2.3,10.4,1.55,0.61,2,264,1103,15.6,5.8,20.2,1.8,2.1,9.6,1.43,0.56,13,22,29,8,2,7,19,24
